Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[1195]=377.434              x[2970]=42.9197              x[4745]=277.07               x[6520]=44.9217              
x[1196]=140.665              x[2971]=85.4674              x[4746]=118.065              x[6521]=103.839              
x[1197]=376.424              x[2972]=41.7507              x[4747]=276.179              x[6522]=45.2324              
x[1198]=138.251              x[2973]=85.2764              x[4748]=118.027              x[6523]=104.019              
x[1199]=375.11               x[2974]=40.6271              x[4749]=275.378              x[6524]=45.4163              
x[1200]=135.524              x[2975]=85.0722              x[4750]=118.124              x[6525]=104.116              
x[1201]=373.413              x[2976]=39.7697              x[4751]=274.661              x[6526]=45.7476              
x[1202]=132.583              x[2977]=84.9461              x[4752]=118.079              x[6527]=104.247              
x[1203]=371.36               x[2978]=39.1565              x[4753]=273.898              x[6528]=46.2508              
x[1204]=129.352              x[2979]=84.8944              x[4754]=118.147              x[6529]=104.428              
x[1205]=368.911              x[2980]=38.4835              x[4755]=273.211              x[6530]=46.663               
x[1206]=142.504              x[2981]=84.7805              x[4756]=118.317              x[6531]=104.54               
x[1207]=374.744              x[2982]=37.9954              x[4757]=272.593              x[6532]=47.2658              
x[1208]=144.534              x[2983]=84.7099              x[4758]=118.315              x[6533]=104.702              
x[1209]=377.014              x[2984]=37.6877              x[4759]=271.917              x[6534]=48.0934              
x[1210]=146.48               x[2985]=84.6889              x[4760]=118.396              x[6535]=104.936              
x[1211]=378.908              x[2986]=37.2695              x[4761]=271.305              x[6536]=48.8952              
x[1212]=148.313              x[2987]=84.588               x[4762]=118.55               x[6537]=105.13               
x[1213]=380.489              x[2988]=36.995               x[4763]=270.751              x[6538]=49.9698              
x[1214]=149.826              x[2989]=84.5173              x[4764]=118.502              x[6539]=105.412              
x[1215]=381.658              x[2990]=36.8672              x[4765]=270.128              x[6540]=51.3743              
x[1216]=151.236              x[2991]=84.4865              x[4766]=118.506              x[6541]=105.82               
x[1217]=382.548              x[2992]=36.601               x[4767]=269.56               x[6542]=52.8885              
x[1218]=152.553              x[2993]=84.3686              x[4768]=118.55               x[6543]=106.259              
x[1219]=383.181              x[2994]=36.4547              x[4769]=269.042              x[6544]=54.8552              
x[1220]=153.579              x[2995]=84.2752              x[4770]=118.359              x[6545]=106.888              
x[1221]=383.473              x[2996]=36.4351              x[4771]=268.449              x[6546]=57.3931              
x[1222]=154.533              x[2997]=84.2173              x[4772]=118.183              x[6547]=107.785              
x[1223]=383.56               x[2998]=36.2597              x[4773]=267.903              x[6548]=60.37                
x[1224]=155.423              x[2999]=84.0687              x[4774]=118.008              x[6549]=108.912              
x[1225]=383.467              x[3000]=36.1893              x[4775]=267.402              x[6550]=64.2615              
x[1226]=156.053              x[3001]=83.9414              x[4776]=117.554              x[6551]=110.513              
x[1227]=383.108              x[3002]=36.232               x[4777]=266.823              x[6552]=69.3816              
x[1228]=156.64               x[3003]=83.8468              x[4778]=117.069              x[6553]=112.782              
x[1229]=382.618              x[3004]=36.1071              x[4779]=266.29               x[6554]=75.8531              
x[1230]=157.192              x[3005]=83.6587              x[4780]=116.533              x[6555]=115.812              
x[1231]=382.021              x[3006]=36.0763              x[4781]=265.801              x[6556]=84.5562              
x[1232]=157.515              x[3007]=83.4894              x[4782]=115.663              x[6557]=120.012              
x[1233]=381.227              x[3008]=36.1488              x[4783]=265.235              x[6558]=96.1765              
x[1234]=157.822              x[3009]=83.3502              x[4784]=114.697              x[6559]=125.55               
x[1235]=380.369              x[3010]=36.0444              x[4785]=264.718              x[6560]=111.133              
x[1236]=158.124              x[3011]=83.1147              x[4786]=113.612              x[6561]=132.283              
x[1237]=379.47               x[3012]=36.0255              x[4787]=264.251              x[6562]=130.049              
x[1238]=158.223              x[3013]=82.8949              x[4788]=112.114              x[6563]=139.754              
x[1239]=378.438              x[3014]=36.1015              x[4789]=263.713              x[6564]=153.072              
x[1240]=158.334              x[3015]=82.702               x[4790]=110.436              x[6565]=147.161              
x[1241]=377.402              x[3016]=35.9926              x[4791]=263.231              x[6566]=-34.9993             
x[1242]=158.466              x[3017]=82.4093              x[4792]=108.545              x[6567]=61.9043              
x[1243]=376.382              x[3018]=35.9612              x[4793]=262.806              x[6568]=-19.8151             
x[1244]=158.419              x[3019]=82.1286              x[4794]=106.139              x[6569]=60.625               
x[1245]=375.282              x[3020]=36.0169              x[4795]=262.319              x[6570]=-7.99088             
x[1246]=158.408              x[3021]=81.8705              x[4796]=103.442              x[6571]=59.6878              
x[1247]=374.23               x[3022]=35.8797              x[4797]=261.893              x[6572]=1.02168              
x[1248]=158.44               x[3023]=81.5082              x[4798]=100.413              x[6573]=59.4245              
x[1249]=373.24               x[3024]=35.8117              x[4799]=261.527              x[6574]=7.61943              
x[1250]=158.314              x[3025]=81.1528              x[4800]=96.7445              x[6575]=59.7551              
x[1251]=372.213              x[3026]=35.8222              x[4801]=261.093              x[6576]=12.7006              
x[1252]=158.243              x[3027]=80.8147              x[4802]=92.6544              x[6577]=60.6518              
x[1253]=371.273              x[3028]=35.6307              x[4803]=260.709              x[6578]=16.7448              
